,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(43.7k Reviews),Public,"Mumbai,Maharashtra + 250 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(28.9k Reviews),Public,"Dublin,Dublin + 136 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26.2k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(32.9k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(24.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 258 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(34.1k Reviews),Public,"Mumbai,Maharashtra + 1139 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21.2k Reviews),Public,Paris + 73 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(20.8k Reviews),Public,"Noida,Uttar Pradesh + 160 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(24.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 122 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(19.3k Reviews),Public,"Pune,Maharashtra + 191 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(19.4k Reviews),Private,"New York,New York + 61 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.3k Reviews),Public,"Mumbai,Maharashtra + 1013 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.3k Reviews),Public,"Armonk,New York + 113 more",111 years old,50k-1 Lakh Employees (India)
13,Amazon,4.2,(13.9k Reviews),Private,"Seattle,Washington + 334 more",28 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(13.8k Reviews),Public,"Fremont,California + 64 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(19k Reviews),Public,"Mumbai,Maharashtra + 503 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.4k Reviews),Public,"Navi Mumbai,Maharashtra + 921 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13k Reviews),Public,"Gandhinagar,Gujrat + 553 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.1k Reviews),Private,"Ahmedabad,Gujrat + 722 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(9.7k Reviews),Private,Paris + 114 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.6k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(38.1k Reviews),Public,"Navi Mumbai,Maharashtra + 429 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(11.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 475 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.5k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.4k Reviews),Public,"Pune,Maharashtra + 377 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13k Reviews),Private,"Navi Mumbai,Maharashtra + 540 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.5k Reviews),Public,"Mumbai,Maharashtra + 394 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 536 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(6.3k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.4k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
30,Flipkart,4.2,(10.1k Reviews),Public,"Bangalore,Karnataka + 395 more",15 years old,10k-50k Employees (India)
31,Hinduja Global S...,4.0,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
32,Maruti Suzuki,4.1,(5.5k Reviews),Public,"New Delhi,Delhi + 364 more",39 years old,10k-50k Employees (India)
33,Ernst & Young,3.8,(5.4k Reviews),Private,London + 69 more,20 years old,50k-1 Lakh Employees (India)
34,Samsung,4.1,(7.7k Reviews),Private,"Ridgefield Park,NJ + 414 more",84 years old,50k-1 Lakh Employees (India)
